product_id,product_title,variant_id,shopify_sku,inventory_quantity,action
gid://shopify/Product/14969759138165,Spectrum TG40PD Self-Propelled Petrol Lawnmower,gid://shopify/ProductVariant/55163947188597,TG40PD,0,would_untrack
gid://shopify/Product/14873211896181,Stiga Park 300 LC Front-Cut Ride-On Lawnmower (Inc. 85cm Manual-Lift Deck),gid://shopify/ProductVariant/54887542554997,STIG-2F5820245/ST1,0,would_untrack
gid://shopify/Product/14873211371893,Stiga HT 500e KIT 48v Cordless Hedgetrimmer (Inc. Battery & Charger),gid://shopify/ProductVariant/54887540687221,STIG-278302208/UKS,0,would_untrack
gid://shopify/Product/14873211240821,Stiga GT 500e KIT 48v Cordless Grass-Trimmer (Inc. Battery & Charger),gid://shopify/ProductVariant/54887540228469,STIG-278102208/UKS,0,would_untrack
gid://shopify/Product/14873211142517,Stiga Silex 87 G Scythe Mower,gid://shopify/ProductVariant/54887539704181,STIG-210870042/ST2,0,would_untrack
gid://shopify/Product/14873210159477,Spectrum 408kg-Capacity High-Sided Steel Tipping Trailer | SP22125,gid://shopify/ProductVariant/54887535804789,C-SP22125,0,would_untrack
gid://shopify/Product/14873208258933,Mountfield 1638H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,gid://shopify/ProductVariant/54887529382261,MF-2T2630483/M22,0,would_untrack
gid://shopify/Product/14873207964021,Mountfield 1538H Rear-Collect Lawn Tractor with Hydrostatic Drive,gid://shopify/ProductVariant/54887528890741,MF-2T2620483/M25,0,would_untrack
gid://shopify/Product/14873207865717,Mountfield 1530H Rear-Collect Lawn Tractor with Hydrostatic Drive,gid://shopify/ProductVariant/54887528464757,MF-2T2120483/M25,0,would_untrack
gid://shopify/Product/14873207538037,Mountfield 1543H-SD Side-Discharge Lawn Tractor with Hydrostatic Drive,gid://shopify/ProductVariant/54887527711093,MF-2T1210483/M25,0,would_untrack
gid://shopify/Product/14873207374197,Mountfield 2240H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,gid://shopify/ProductVariant/54887527252341,MF-2T0980483/M25,0,would_untrack
gid://shopify/Product/14873207112053,Mountfield 1538H-SD Side-Discharge Lawn Tractor with Hydrostatic Drive,gid://shopify/ProductVariant/54887526465909,MF-2T0620483/M25,0,would_untrack
gid://shopify/Product/8321736147111,Atco Liner 19SH V Variable-Speed Petrol Rear-Roller Lawnmower (Honda Engine),gid://shopify/ProductVariant/45927605764263,C-294519037/AT1,0,would_untrack
gid://shopify/Product/8321736048807,Atco Liner 22SH V Variable-Speed Petrol Rear-Roller Lawnmower (Honda Engine),gid://shopify/ProductVariant/45927605600423,C-294569037/AT1,0,would_untrack
gid://shopify/Product/8321733951655,Mountfield BC 450 HD 4-Stroke Petrol Brushcutter (Honda Engine),gid://shopify/ProductVariant/45927586332839,MF-281521003/21,-1,would_untrack
gid://shopify/Product/8321733525671,Mountfield BC 435 H 4-Stroke Petrol Brushcutter (Honda Engine),gid://shopify/ProductVariant/45927584923815,MF-281320003/21,0,would_untrack
gid://shopify/Product/8321733329063,Mountfield BC 435 HD 4-Stroke Petrol Brushcutter (Honda Engine),gid://shopify/ProductVariant/45927584694439,MF-281321003/21,0,would_untrack
gid://shopify/Product/8321733230759,Mountfield BC 425 HD 4-Stroke Petrol Brushcutter (Honda Engine),gid://shopify/ProductVariant/45927584596135,MF-281221003/21,-1,would_untrack
gid://shopify/Product/8321732739239,Mountfield BC 425 HJ 4-Stroke Petrol Brushcutter (Honda Engine),gid://shopify/ProductVariant/45927584465063,MF-281220003/21,0,would_untrack
gid://shopify/Product/8321730904231,Spectrum TG46SE 3-in-1 Self-Propelled Petrol Lawnmower with Electric Start,gid://shopify/ProductVariant/45927578402983,TG46SE,0,would_untrack
gid://shopify/Product/8321730805927,Spectrum TG46S 3-in-1 Self-Propelled Petrol Lawnmower,gid://shopify/ProductVariant/45927578206375,TG46S,0,would_untrack
