product_id,variant_id,shopify_sku,product_title,action
gid://shopify/Product/8321152516263,gid://shopify/ProductVariant/45926124322983,STIG-COLLECTOR-SWS-800G,Stiga Collection Box for SWS 800 G Self-Propelled Sweeper | 290802020/16,would_retrack
gid://shopify/Product/8321145766055,gid://shopify/ProductVariant/45926114656423,STIG-287220002/ST1,Stiga BC 535 Petrol Brushcutter,would_retrack
gid://shopify/Product/8321101234343,gid://shopify/ProductVariant/45926053314727,STIG-287121102/ST2,Stiga BC 330 AB Petrol Brushcutter,would_retrack
gid://shopify/Product/8321100021927,gid://shopify/ProductVariant/45926052036775,STIG-HT-ATTACH-226,Stiga Hedgetrimmer Attachment for Split-Shaft Brushcutters | 232511710/15,would_retrack
gid://shopify/Product/8321098547367,gid://shopify/ProductVariant/45926049874087,STIG-PRUN-ATTACH-226,Stiga Tree-Pruner Attachment for Split-Shaft Brushcutters | 232511810/15,would_retrack
gid://shopify/Product/8321089962151,gid://shopify/ProductVariant/45926036045991,STIG-SRC-36V,Stiga SRC 36 V Petrol Front-Tine Tiller,would_retrack
gid://shopify/Product/8321040285863,gid://shopify/ProductVariant/45925897896103,STIG-298472048/ST2,Stiga Multiclip 547 S Self-Propelled Petrol Mulching Lawnmower,would_retrack
gid://shopify/Product/8321022853287,gid://shopify/ProductVariant/45925854085287,STIG-2D6210021/ST2,Stiga Park Combi 100 Q Plus QuickFlip Cutter Deck | 2D6210021/ST2,would_retrack
gid://shopify/Product/8320859996327,gid://shopify/ProductVariant/45925596790951,STIG-2F6130645/ST2,Stiga Park 500 WX 4WD V-Twin Front-Cut Ride-On Lawnmower (Excluding Deck),would_retrack
gid://shopify/Product/8320856490151,gid://shopify/ProductVariant/45925592596647,STIG-2T0070481/ST2,Stiga Combi 166 Compact Rear-Collect & Side-Discharge Ride-On Mower with Hydrostatic Drive,would_retrack
gid://shopify/Product/8320851837095,gid://shopify/ProductVariant/45925587091623,STIG-2T1220481/ST2,Stiga Tornado 5108 W Side-Discharge V-Twin Garden Tractor with Hydrostatic Drive,would_retrack
gid://shopify/Product/8320829292711,gid://shopify/ProductVariant/45925549801639,MF-34LI-F48,Mountfield Princess 34 Li KIT 48v Cordless 4-Wheel Rear-Roller Lawnmower (Inc. Battery & Charger),would_retrack
gid://shopify/Product/8320807174311,gid://shopify/ProductVariant/45925413060775,294386063/M26,Mountfield Princess 38 Li KIT 48v Cordless 4-Wheel Rear-Roller Lawnmower (Inc. Battery & Charger),would_retrack
gid://shopify/Product/8320806748327,gid://shopify/ProductVariant/45925412634791,MF-PRINCESS-34,Mountfield Princess 34 Electric 4-Wheel Roller Lawnmower,would_retrack
gid://shopify/Product/8320806650023,gid://shopify/ProductVariant/45925411750055,MF-PRINCESS-38,Mountfield Princess 38 Electric 4-Wheel Roller Lawnmower,would_retrack
