shopify_sku,source,shopify_title
TG561-SWT-AMZ,matches_csv_non_spectrum,Spectrum TG561-SWT Self Propelled Wheeled Trimmer (Amazon)
HRM-2500BC,matches_csv_non_spectrum,HONDA Miimo HRM 2500BC Live Robot Lawnmower
HRG416SK,matches_csv_non_spectrum,Honda Izy HRG 416 SK Self Propelled Petrol Lawn Mower
C-2T0510404/A22,matches_csv_non_spectrum,Alpina AT3 98AST Side Discharge Lawn Tractor
WH20XT,matches_csv_non_spectrum,HONDA WH20 Self Priming Water Pump
C-TG50-UTILITY-AMZ,matches_csv_non_spectrum,Spectrum TG50-Utility Lawnmower (Amazon)
HAR-TS40S,matches_csv_non_spectrum,Harry TS40-S 2-in-1 Petrol Lawn Scarifier/Aerator
MF-SP505R-V,matches_csv_non_spectrum,Mountfield SP505R-V Variable-Speed Petrol Rear-Roller Lawnmower (with Honda Engine)
HRD536QY,matches_csv_non_spectrum,Honda HRD 536 QX Self-Propelled Rear Roller Petrol Lawn Mower
ECH-CS310ES-35,matches_csv_non_spectrum,Echo CS-310ES Petrol Chainsaw (35cm Guide Bar)
MF-HP41,matches_csv_non_spectrum,Mountfield HP41 Hand-Propelled Petrol Lawnmower
HRG-466-PK,matches_csv_non_spectrum,Honda Izy HRG 466 PK Petrol Lawn Mower
FBT420,matches_csv_non_spectrum,Feider FBT420 Petrol Chipper
C-DM26PBV-AMZ,matches_csv_non_spectrum,Spectrum DM26PBV Petrol Blower-Vac (Amazon)
HRD-536-HX,matches_csv_non_spectrum,Honda HRD 536 HX Self-Propelled Petrol Lawn Mower
HRN-536-VY,matches_csv_non_spectrum,Honda HRN 536 VY Self-Propelled Petrol Lawn Mower
ECH-HCA-265ES-HD,matches_csv_non_spectrum,Echo HCA-265ES-HD Long-Reach Petrol Hedgetrimmer
C-2T0053404/A22,matches_csv_non_spectrum,Alpina AT2 66 QA Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive
ECH-CS-4310SX,matches_csv_non_spectrum,Echo CS-4310SX Petrol Chainsaw (40cm Guide Bar)
ECH-HC-2320,matches_csv_non_spectrum,Echo HC-2320 Petrol Hedgetrimmer
UMS-425-LN,matches_csv_non_spectrum,UMS 425 LN 4-stroke Bent Shaft Petrol Brushcutter
HRN536VK,matches_csv_non_spectrum,Honda HRN 536 VK Self-Propelled Petrol Lawn Mower
ECH-CS-2511TESC,matches_csv_non_spectrum,Echo CS-2511TESC Top-Handle Petrol Arborist's Chainsaw (25cm Guide Bar)
ECH-ES-250ES,matches_csv_non_spectrum,Echo ES-250ES Shred N' Vac® Handheld Petrol Blower-Vacuum
CS-501SX/45,matches_csv_non_spectrum,Echo CS-501SX Petrol Chainsaw (45cm Guide Bar)
HRG466SK,matches_csv_non_spectrum,Honda Izy HRG 466 SK Self-Propelled Petrol Lawn Mower
HHH25S75ET,matches_csv_non_spectrum,Honda HHH 25S 75E Hedge Trimmer
WEBB-WBV,matches_csv_non_spectrum,Webb Walk-Behind Vacuum
FHT22,matches_csv_non_spectrum,Feider FHT22 Petrol Hedgetrimmer (60cm Blades)
ECH-HCR-165ES,matches_csv_non_spectrum,Echo HCR-165ES Petrol Hedgetrimmer
FTRTPRO40,matches_csv_non_spectrum,Feider PRO 40 Petrol Chainsaw  Kit (40cm Guide Bar)
UMK-425-LE,matches_csv_non_spectrum,Honda UMK 425 LE 4-Stroke Brush Cutter
ECH-HCR-185ES,matches_csv_non_spectrum,Echo HCR-185ES Petrol Hedgetrimmer
ECH-SRM-2621TESU,matches_csv_non_spectrum,Echo SRM-2621TESU High-Torque Petrol Brushcutter
ECH-PB-2520,matches_csv_non_spectrum,Echo PB-2520 Handheld Petrol Leaf-Blower
ECH-SRM-237TESU,matches_csv_non_spectrum,Echo SRM-237TESU High-Torque Petrol Brushcutter
WEPS400,matches_csv_non_spectrum,Webb WEPS400 40cm (16″) Petrol Lawn Scarifier & Raker
RAC52BPB-2,matches_csv_non_spectrum,Racing 52BPB-2 Petrol Backpack Blower
