shopify_sku,source,shopify_title
STIG-283221008/ST1,main_sync,Stiga BC 730 B Petrol Brushcutter
STIG-283321008/ST2,main_sync,Stiga BC 740 B Petrol Brushcutter
STIG-283424008/ST2,main_sync,Stiga BC 750 B Petrol Brushcutter
STIG-283524008/ST3,main_sync,Stiga BC 760 B Petrol Brushcutter
STIG-287110102/ST2,main_sync,Stiga GT 330 A Curved-Shaft Petrol Grass-Trimmer
STIG-287120102/ST2,main_sync,Stiga BC 330 A Petrol Brushcutter
STIG-287121102/ST2,main_sync,Stiga BC 330 AB Petrol Brushcutter
STIG-287220002/ST1,main_sync,Stiga BC 535 Petrol Brushcutter
STIG-287221002/ST1,main_sync,Stiga BC 535 B Petrol Brushcutter
STIG-287321002/ST1,main_sync,Stiga BC 545 B Petrol Brushcutter
STIG-290602020/16,main_sync,Stiga Collection Box for SWS 600 G Self-Propelled Sweeper | 290602020/16
STIG-290602030/16,main_sync,Stiga Front Blade for SWS 600 G Self-Propelled Sweeper | 290602030/16
STIG-290802030/16,main_sync,Stiga Front Blade for SWS 800 G Self-Propelled Sweeper | 290802030/16
STIG-291302168/UKS,main_sync,Stiga Collector 132e KIT 20v Cordless Lawnmower (Inc. Battery & Charger)
STIG-291342168/UKS,main_sync,Stiga Collector 136e KIT 20v Cordless Lawnmower (Inc. 2 x Batteries & Charger)
STIG-291382168/UKS,main_sync,Stiga Collector 140e KIT 20v Cordless Lawnmower (Inc. 2 x Batteries & Charger)
STIG-294346068/UKS,main_sync,Stiga Combi 336e KIT 48v 3-in-1 Hand-Propelled Cordless Lawnmower (Inc. Battery & Charger)
STIG-294386068/UKS,main_sync,Stiga Combi 340e KIT 48v 3-in-1 Hand-Propelled Cordless Lawnmower (Inc. Battery & Charger)
STIG-294426068/UKS,main_sync,Stiga Combi 344e KIT 48v 3-in-1 Hand-Propelled Cordless Lawnmower (Inc. Battery & Charger)
STIG-294513998/ST1,main_sync,Stiga Twinclip 950e V KIT 48v 4-in-1 Variable-Speed Cordless Lawnmower (Inc. Batteries & Charger)
STIG-294513998/UKS,miss_fixup,Stiga Twinclip 950e V 48v 4-in-1 Variable-Speed Cordless Lawnmower (Inc. Batteries & Charger)
STIG-294519198/ST1,main_sync,Stiga Twinclip 950e VR KIT 48v Variable-Speed Cordless Rear-Roller Lawnmower (Inc. 2 x Batteries & Charger)
STIG-294569048/ST1,main_sync,Stiga Twinclip 955 VR Variable-Speed Petrol Rear-Roller Lawnmower
STIG-298472048/ST2,main_sync,Stiga Multiclip 547 S Self-Propelled Petrol Mulching Lawnmower
STIG-2D6210021/ST2,main_sync,Stiga Park Combi 100 Q Plus QuickFlip Cutter Deck | 2D6210021/ST2
STIG-2D6311021/ST2,main_sync,Stiga Park Combi Pro 110 Q Plus QuickFlip Cutter Deck | 2D6311021/ST2
STIG-2D6312521/ST2,main_sync,Stiga Park Combi Pro 125 Q Plus QuickFlip Cutter Deck | 2D6312521/ST2
STIG-2F5820245/ST1,main_sync,Stiga Park 300 LC Front-Cut Ride-On Lawnmower (Inc. 85cm Manual-Lift Deck)
STIG-2F5820425/ST1,main_sync,Stiga Park 300 RC Front-Cut Ride-On Lawnmower (Inc. 95cm Electric-Lift Deck)
STIG-2F6120545/ST2,main_sync,Stiga Park 500 Front-Cut Ride-On Lawnmower (Excluding Deck)
STIG-2F6130645/ST2,main_sync,Stiga Park 500 WX 4WD V-Twin Front-Cut Ride-On Lawnmower (Excluding Deck)
STIG-2F6220745/ST2,main_sync,Stiga Park 700 W V-Twin Front-Cut Ride-On Lawnmower (Excluding Deck)
STIG-2F6230745/ST2,main_sync,Stiga Park 700 WX 4WD V-Twin Front-Cut Ride-On Lawnmower (Excluding Deck)
STIG-2F6430831/ST2,main_sync,Stiga Park Pro 900 WX 4WD V-Twin Front-Cut Ride-On Lawnmower (Excluding Deck)
STIG-2F6430931/ST2,main_sync,Stiga Park Pro 900 AWX 4WD V-Twin Front-Cut Ride-On Lawnmower (Excluding Deck)
STIG-2F7064705/ST1,miss_fixup,Stiga Gyro 900e ‘Drive-by-Wire’ Electric Battery-Powered Axial Ride-On Lawnmower
STIG-2L0486848/ST2,main_sync,Stiga Combi 748 S 4-in-1 Self-Propelled Petrol Lawnmower
STIG-2L0487838/ST2,main_sync,Stiga Combi 748 V 4-in-1 Variable-Speed Petrol Lawnmower (with Honda Engine)
STIG-2L0487978/ST1,main_sync,Stiga Combi 748e V KIT 48v 4-in-1 Variable-Speed Cordless Lawnmower (Inc. Batteries & Charger)
