order_id,created,order_state,line_state,category_code,shop_sku,product_title,quantity,unit_price,line_revenue,commission,effective_rate
1063573164-A,2026-05-07T09:46:41Z,SHIPPED,SHIPPED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1063577239-A,2026-05-07T11:05:21Z,SHIPPED,SHIPPED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1063593640-A,2026-05-07T16:51:46Z,SHIPPED,SHIPPED,PIM_12683,S154545,Spectrum DM26C Curved-Shaft Petrol Grass-Trimmer,1,89.0,89.0,8.54,9.60
1063626708-A,2026-05-08T13:50:26Z,SHIPPED,SHIPPED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,199.95,199.95,19.2,9.60
1063632864-A,2026-05-08T16:03:23Z,SHIPPED,SHIPPED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1063665893-A,2026-05-09T12:45:25Z,SHIPPED,SHIPPED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,199.95,199.95,19.2,9.60
1063668849-A,2026-05-09T13:34:26Z,SHIPPED,SHIPPED,PIM_13211,DCT38M-SDM,"Spectrum DCT38M-SD  38"" Side Discharge and Mulch Lawn Tractor with Manual Drive",1,1699.95,1699.95,163.2,9.60
1063706878-A,2026-05-10T11:54:07Z,RECEIVED,RECEIVED,PIM_12683,S154545,Spectrum DM26C Curved-Shaft Petrol Grass-Trimmer,1,89.0,89.0,8.54,9.60
1063710835-A,2026-05-10T12:58:11Z,SHIPPED,SHIPPED,PIM_12703,C-HRTF220,Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator,1,499.95,499.95,48.0,9.60
1063724061-A,2026-05-10T16:58:45Z,SHIPPED,SHIPPED,PIM_13302,C-PFC-10R-P,Spectrum PFC-10R-P Anti Spill Petrol Can - 10 Litre,1,22.45,22.45,3.23,14.39
1063728566-A,2026-05-10T18:43:23Z,SHIPPED,SHIPPED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1063731274-A,2026-05-10T19:44:09Z,SHIPPED,SHIPPED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,199.95,199.95,19.2,9.60
1063742236-A,2026-05-11T08:23:04Z,SHIPPED,SHIPPED,PIM_13211,C-MTF66-MQ,Mountfield MTF66M Compact Rear-Collect & Side-Discharge Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1063785428-A,2026-05-12T07:23:42Z,SHIPPED,SHIPPED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,199.95,199.95,19.2,9.60
1063789264-A,2026-05-12T09:10:28Z,SHIPPED,SHIPPED,PIM_12703,C-RAC139PTIL,Racing 139PTIL63 Petrol Front-Tine Tiller,1,218.95,218.95,21.02,9.60
1063793331-A,2026-05-12T10:31:44Z,SHIPPED,SHIPPED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,199.95,199.95,19.2,9.60
1063805695-A,2026-05-12T14:41:06Z,SHIPPED,SHIPPED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,199.95,199.95,19.2,9.60
1063808539-A,2026-05-12T15:40:09Z,SHIPPED,SHIPPED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,199.95,199.95,19.2,9.60
1063816087-A,2026-05-12T18:28:52Z,SHIPPED,SHIPPED,PIM_12703,C-HRTF220,Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator,1,499.95,499.95,48.0,9.60
1063847738-A,2026-05-13T14:36:08Z,SHIPPED,SHIPPED,PIM_13209,C-TG40SE,Spectrum TG40SE Self-Propelled Petrol Lawnmower with Electric Start,1,199.95,199.95,19.2,9.60
1063862127-A,2026-05-13T20:27:32Z,SHIPPED,SHIPPED,PIM_13211,C-DC24-4,Spectrum DC24-4 Ultra-Compact Rear-Collect Side-Discharge or Ride-On Mower with Manual Drive,1,1399.95,1399.95,134.4,9.60
1063862497-A,2026-05-13T20:37:29Z,SHIPPED,SHIPPED,PIM_12703,C-HRTF220,Feider HRTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator,1,499.95,499.95,48.0,9.60
