suspected_match_miss,stiga_supplier_code,stiga_supplier_desc,brand,shopify_sku,shopify_title,vendor,current_price,current_compare_at_price,product_handle
no,,,Mountfield,MF-271014000/21,Mountfield B24 20v/4Ah Freedom 100 Battery,Mountfield,73.00,,mountfield-b24-20v-4ah-freedom-100-lithium-ion-battery
no,,,Mountfield,MF-278012000/21,Mountfield B420 48v/2Ah Freedom 500 Lithium-Ion Battery,Mountfield,109.00,127.00,mountfield-b420-48v-2ah-freedom-500-lithium-ion-battery
no,,,Mountfield,MF-274015004/ST1,Mountfield B450 48v/5Ah Freedom 500 Lithium-Ion Battery,Mountfield,179.00,200.00,mountfield-b450-48v-5ah-freedom-500-lithium-ion-battery
no,,,Mountfield,MF-278021000/21,Mountfield C 415 SU Freedom 500 Standard Charger,Mountfield,45.00,49.00,mountfield-c-415-su-freedom-500-standard-charger
no,,,Mountfield,MF-2L0432803/M21,Mountfield Empress 41 Li 48v 4-in-1 Self-Propelled Cordless Lawnmower (Machine Only),Mountfield,475.00,,mountfield-empress-41-li-48v-41cm-4-in-1-self-propelled-cordless-battery-powered-lawnmower-machine-only
no,,,Mountfield,MF-2L0536803/M22,Mountfield Empress 51 Li 4-in-1 Self-Propelled Cordless Lawnmower (Inc. 2 x Batteries & Charger),Mountfield,957.95,,mountfield-empress-51-li-48v-51cm-4-in-1-self-propelled-cordless-battery-powered-lawnmower
no,,,Mountfield,MF-2T2200483/M22,Mountfield Freedom 30e Battery-Powered Rear-Collect Lawn Tractor with Stepless Electronic Drive,Mountfield,4420.00,,mountfield-freedom-30e-battery-powered-rear-collect-lawn-tractor-with-stepless-electronic-drive
no,,,Mountfield,MF-HP185,Mountfield HP185 Petrol Lawnmower,Mountfield,372.95,,mountfield-hp185-139cc-46cm-hand-propelled-petrol-lawnmower
no,,,Mountfield,MF-HP41,Mountfield HP41 Hand-Propelled Petrol Lawnmower,Mountfield,189.00,249.00,mountfield-hp41-123cc-39cm-hand-propelled-petrol-lawnmower
no,,,Mountfield,MF-HP42,Mountfield HP42 Hand-Propelled Petrol Lawnmower,Mountfield,229.00,259.00,mountfield-hp42-123cc-41cm-hand-propelled-petrol-lawnmower
