suspected_match_miss,stiga_supplier_code,stiga_supplier_desc,brand,shopify_sku,shopify_title,vendor,current_price,current_compare_at_price,product_handle
no,,,Stiga,STIG-277710038/ST1,Stiga SPH 700 AE 48v Cordless Long-Reach Hedgetrimmer (Tool Only),Stiga,235.00,260.00,stiga-sph-700-ae-48v-cordless-long-reach-battery-hedgetrimmer-with-50cm-blades-tool-only
no,,,Stiga,STIG-279710038/ST1,Stiga SPH 900 AE 48v Cordless Long-Reach Hedgetrimmer (Tool Only),Stiga,359.00,,stiga-sph-900-ae-48v-cordless-long-reach-hedgetrimmer-tool-only
no,,,Stiga,STIG-278420008/ST2,Stiga SPR 500 AE 48v Cordless Top-Handle Arborist’s Chainsaw - 30cm Guide Bar (Tool Only),Stiga,215.00,250.00,stiga-spr-500-ae-48v-top-handle-cordless-arborist-chainsaw-with-30cm-guide-bar-tool-only
no,,,Stiga,STIG-13-0978-61,Stiga Spring-Tine Hoe for Park Front-Cut Ride-On Mowers | 13-0978-61,Stiga,1311.00,,stiga-spring-tine-hoe-for-park-front-cut-ride-on-mowers-13-0978-61
no,,,Stiga,STIG-213601041/ST1,Stiga SRC 585 RG Petrol Front-Tine Tiller,Stiga,449.00,519.00,stiga-src-585-rg-182cc-60cm-petrol-front-tine-tiller
no,,,Stiga,STIG-290002132/14,Stiga SV 213 E 1300w/32cm 2-in-1 Electric Scarifier/Aerator,Stiga,139.00,159.00,stiga-sv-213-e-1300w-32cm-2-in-1-mains-electric-scarifier-aerator
no,,,Stiga,STIG-372E,Stiga Swift 372e Battery-Powered Rear-Collect Ride-On Lawnmower with Stepless Electronic Drive,Stiga,3499.00,3493.00,stiga-swift-325e-72cm-compact-battery-powered-rear-collect-ride-on-lawnmower-with-stepless-electronic-drive-including-3-batteries-and-two-chargers
no,,,Stiga,STIG-SWP355,Stiga SWP 355 Hand-Propelled Sweeper,Stiga,279.00,,stiga-swp-355-55cm-hand-propelled-sweeper
no,,,Stiga,STIG-SWP475,Stiga SWP 475 Hand-Propelled Sweeper,Stiga,429.00,429.00,stiga-swp-475-75cm-hand-propelled-sweeper
no,,,Stiga,STIG-SWP577,Stiga SWP 577 Hand-Propelled Sweeper,Stiga,529.00,529.00,stiga-swp-577-77cm-hand-propelled-sweeper
no,,,Stiga,STIG-TITAN-PLOUGH-13-7938-11,Stiga Titan 140H Snow Plough Blade (13-7938-11),Stiga,1999.00,,stiga-titan-140h-snow-plough-blade-13-7938-11
no,,,Stiga,STIG-BEACON-13-7933-11,Stiga Titan Beacon Light Kit  (13-7933-11),Stiga,135.00,,stiga-titan-beacon-light-kit-13-7933-11
no,,,Stiga,STIG-PIVOT-WHEELS-130H-SWEEPER,Stiga Titan Front Wheel Kit for RB130H Sweeper (13-7924-11),Stiga,649.00,,stiga-titan-front-wheel-kit-for-rb130h-sweeper
no,,,Stiga,STIG-RB130H-SWEEPER-13-7912-13,Stiga Titan RB130H Rotary Brush Snow Sweeper (13-7912-13),Stiga,2999.00,,stiga-titan-rb130h-rotary-brush-snow-sweeper-13-7912-13
no,,,Stiga,STIG-REVERSE-KIT-130H-SWEEPER,Stiga Titan Reverse Kit for RB130H Sweeper (13-7925-11),Stiga,459.00,,stiga-titan-reverse-kit-for-rb130h-sweeper
no,,,Stiga,STIG-RUBBER-SCRAPER-FOR-140H-SNOW-BLADE,Stiga Titan Rubber Scraper for 140cm Snow Plough (13-7939-11),Stiga,179.00,,stiga-titan-rubber-scraper-for-140cm-snow-plough
no,,,Stiga,STIG-TITAN-SPREADER-90,Stiga Titan S90 Sand Spreader (13-7916-12),Stiga,2700.00,,stiga-titan-s90-sand-spreader-13-7916-12
no,,,Stiga,STIG-Titan-SL90-Spreader-13-7917-13,Stiga Titan SL90 Self-Loading Sand Spreader (13-7917-13),Stiga,3699.00,,stiga-titan-sl90-self-loading-sand-spreader-13-7917-13
no,,,Stiga,STIG-Titan-Snow-Chains-13-7914-11,"Stiga Titan Snow Chains 20"" x 10 (13-7914-11)",Stiga,149.00,,stiga-titan-snow-chains-20-x-10-13-7914-11
no,,,Stiga,STIG-299900395/0,Stiga Tow Bar – for 84cm & 98cm Rear-Collect Tractors | 299900395/0,Stiga,80.00,,stiga-mp84-tow-bar-for-84cm-to-98cm-tractors-299900395-0
no,,,Stiga,STIG-PARK-PRO-SAND-FERT-SPREADER,Stiga Tow-Behind Fertiliser & Salt Spreader for Park Pro Front-Cut Ride-On Mowers | 13-1975-14,Stiga,1866.00,,stiga-tow-behind-fertiliser-salt-sand-gravel-spreader-for-park-pro-front-cut-ride-on-mowers-13-1975-14
no,,,Stiga,STIG-2I0000000/17,Stiga Trailer Hitch - for 121cm Side-Discharge Tractors | 2I0000000/17,Stiga,60.00,,stiga-trailer-hitch-for-121cm-garden-tractors-2i0000000-17
no,,,Stiga,R-RTN631,Stiga Twinclip 55 SH BBC Self-Propelled Lawnmower with Blade-Brake Clutch,Stiga,950.00,1189.00,stiga-twinclip-55-sh-bbc-self-propelled-lawnmower-with-blade-brake-clutch-rtn631
no,,,Stiga,STIG-294513548/ST1,Stiga Twinclip 950 VE 4-in-1 Variable-Speed Petrol Lawnmower with Electric Start,Stiga,1425.95,,stiga-twinclip-950-ve-196cc-48cm-4-in-1-variable-speed-petrol-lawnmower-with-electric-start
no,,,Stiga,STIG-294519048/ST1,Stiga Twinclip 950 VR Variable-Speed Petrol Rear-Roller Lawnmower,Stiga,945.00,,stiga-twinclip-950-vr-196cc-48cm-variable-speed-petrol-rear-roller-lawnmower
no,,,Stiga,STIG-294568038/ST2,Stiga Twinclip 955 B Self-Propelled Petrol Lawnmower with Blade-Brake Clutch & Honda Engine,Stiga,1692.95,,stiga-twinclip-955-b-163cc-53cm-self-propelled-petrol-lawnmower-with-blade-brake-clutch-and-honda-engine
no,,,Stiga,STIG-294563538/ST2,Stiga Twinclip 955 VE 4-in-1 Variable-Speed Petrol Lawnmower with Electric Start & Honda Engine,Stiga,1249.00,1500.00,stiga-twinclip-955-ve-166cc-53cm-4-in-1-variable-speed-petrol-lawnmower-with-electric-start-and-honda-engine
no,,,Stiga,STIG-219000080/15,Stiga Tyres Kit for SRC 685 RG Front-Tine Tiller | 219000080/15,Stiga,99.00,,stiga-tyres-kit-for-src-685-rg-front-tine-tiller-219000080-15
