Product Code,Product Description,Quantity in Stock,Sell Price ex VAT,Sell Price inc VAT,
HCR-165ES,"ECHO HCR-165ES DOUBLE SIDED PETROL HEDGE TRIMMER 25"" / 64CM",1,323.333333333333,388,
FTRTPRO40,FEIDER FTRTPRO40 CHAINSAW,3,266.625,319.95,
UMK425E2LE,HONDA UMK 425 LE 4-STROKE BRUSHCUTTER,1,357.5,429,
HCR-185ES,ECHO HCR-185ES TWIN BLADE HEDGECUTTER,1,357.5,429,
SRM-2621TESU,ECHO SRM-2621TESU 25.4CC HORN HANDLE BRUSHCUTTER,1,382.5,459,
374.166666666667,"ECHO CS-4510ES CHAINSAW 18""""",1,374.958333333333,449.95,
PB-2520,ECHO PB-2520 2-STROKE HANDHELD BLOWER,2,336.25,403.5,
SSBCE,HONDA SSBCE BRUSHCUTTER ATTACHMENT - VERSATOOL,2,300.625,360.75,
SRM-237TESU,ECHO SRM-237TESU HORN HANDLE BRUSHCUTTER 21.2CC,1,594.475,713.37,
WEPS400,"WEBB WEPS400 16"" PETROL SCARIFIER & RAKE",1,494.975,593.97,
RAC52BPB,RACING 52BPB-2 PETROL BACKPACK BLOWER,2,158.291666666667,189.95,
DM26PB,SPECTRUM DM26PB PETROL LEAF BLOWER,3,91.625,109.95,
,,,,,
,,,,,0
