"id","org_id","created_date","created_by_user_id","last_modified_date","last_modified_by_user_id","deleted_date","deleted_by_user_id","product_code","product_sku","product_name","product_description","cost_price","cost_price_average","cost_price_percentage","cost_chart_of_accounts","cost_currency","premium_declaration_cost_price","underwriter_cost_price","underwriter_cost_price_percentage","agent_cost_price","agent_cost_price_percentage","sell_currency","sell_price","sell_chart_of_accounts","status","product_type","product_category","pending_product_qty_in_stock","product_qty_in_stock","manage_stock","stock_value","resell_value","minimum_retail_price","maximum_retail_price","template_id","company_id","start_date","end_date","external_reference","sales_unit","recommended_retail_price","weight","service_levy_percentage","admin_fee","service_provision","plan_operating_charge","clip_fee_percentage","location","margin_calculation","supplier_id","part_number","bay","ean_barcode","product_image"
67465,6,,,"2026-04-23T14:50:13.000Z",24305274,,,"RFB-TG46S","RFB-TG46S","SPECTRUM TG46S LAWNMOWER - REFURBISHED","SPECTRUM TG46S LAWNMOWER - REFURBISHED",183.33,0,,"4000","GBP",,,,,,"GBP",220,"4000","Active","4000 - Delivery charges - outward freight","1",0,-1,1,-183.33,-220,,,,,,,"C-RFB-TG46S",,,30,,,,,,"",,,,,,
67466,6,,,,777,,,"RFBFTDTR4240ES","RFBFTDTR4240ES","REFURBISHED FTDTR4240ES REAR-ROLLER PETROL LAWNMOWER","REFURBISHED FTDTR4240ES REAR-ROLLER PETROL LAWNMOWER",0.01,0.01,,"4010","GBP",,,,,,"GBP",250,"4010","Active","4010 - WALK BEHIND LAWNMOWERS","1",0,0,1,0,0,,,,,,,"C-RFBFTDTR4240ES",,,,,,,,,"",,,,,,
67467,6,,,,777,,,"RM66H","RM66H","HARRY RM66H COMPACT RIDE-ON MOWER WITH HYDROSTATIC DRIVE","HARRY RM66H COMPACT RIDE-ON MOWER WITH HYDROSTATIC DRIVE",1079,1079,,"4011","GBP",,,,,,"GBP",1699,"4011","Active","4011 - RIDE ON LAWNMOWERS","62",0,0,1,0,0,,,,,,,"C-RM66H",,,,,,,,,"",,,,,,
67468,6,,,,777,,,"RM66M","RM66M","HARRY RM66M COMPACT RIDE ON MOWER W/ MANUAL DRIVE","HARRY RM66M COMPACT RIDE ON MOWER W/ MANUAL DRIVE",933,933,,"4011","GBP",,,,,,"GBP",1469,"4011","Active","4011 - RIDE ON LAWNMOWERS","62",0,0,1,0,0,,,,,,,"C-RM66M",,,,,,,,,"",,,,,,
67469,6,,,,777,,,"RM830","RM830","OREC RABBIT RM830 SINGLE-CYLINDER RIDE-ON BRUSHCUTTER","OREC RABBIT RM830 SINGLE-CYLINDER RIDE-ON BRUSHCUTTER",5737.5,4957.81,,"4011","GBP",,,,,,"GBP",6749,"4011","Active","4011 - RIDE ON LAWNMOWERS","61",0,0,1,0,0,,,,,,,"C-RM830",,,240,,,,,,"",,,,,,
67470,6,,,,777,,,"RM882","RM882","OREC RABBIT RM882 V-TWIN RIDE-ON BRUSHCUTTER with Hydrostatic Drive","OREC RABBIT RM882 V-TWIN RIDE-ON BRUSHCUTTER with Hydrostatic Drive",6218.75,6218.75,,"4011","GBP",,,,,,"GBP",9950,"4011","Active","4011 - RIDE ON LAWNMOWERS","61",0,0,1,0,0,,,,,,,"C-RM882",,,238,,,,,,"",,752098,,,,
67471,6,,,,777,,,"RM982F","RM982F","OREC RABBIT 4WD V-TWIN RIDE ON BRUSHCUTTER WITH HYDROSTATIC DRIVE","OREC RABBIT 4WD V-TWIN RIDE ON BRUSHCUTTER WITH HYDROSTATIC DRIVE",8718.75,8718.75,,"4011","GBP",,,,,,"GBP",12549,"4011","Active","4011 - RIDE ON LAWNMOWERS","61",0,0,1,0,0,,,,,,,"C-RM982F",,,310,,,,,,"",,752098,,,,
67472,6,,,,777,,,"ROPE3.00MM","ROPE3.00MM","WAR TEC PLATINUM STARTER ROPE 3.00MM (1 FEET)","WAR TEC PLATINUM STARTER ROPE 3.00MM (1 FEET)",0.41,0.41,,"4098","GBP",,,,,,"GBP",1.95,"4098","Active","4098 - SPARE PARTS","20",0,317,1,129.97,618.15,,,,,,,"C-ROPE3.00MM",,,,,,,,,"",,752107,,,,
67473,6,,,,777,,,"ROPE3.5MM","ROPE3.5MM","NYLON STARTER ROPE 3.5MM (1 FOOT)","NYLON STARTER ROPE 3.5MM (1 FOOT)",0.41,0.41,,"4098","GBP",,,,,,"GBP",1.95,"4098","Active","4098 - SPARE PARTS","20",0,322,1,132.02,627.9,,,,,,,"C-ROPE3.5MM",,,,,,,,,"",,752107,,,,
67474,6,,,,777,,,"RR18","RR18","MASPORT ROTAROLA RR-18 HAND PUSH ROLLER MOWER","MASPORT ROTAROLA RR-18 HAND PUSH ROLLER MOWER",402,402,,"4010","GBP",,,,,,"GBP",605,"4010","Active","4010 - WALK BEHIND LAWNMOWERS","57",0,0,1,0,0,,,,,,,"C-RR18",,,,,,,,,"",,752098,,,,
67475,6,,,,777,,,"RS1312HV","RS1312HV","ROADSTART EMERGENCY JUMP STARTER 12V 900 PEAK AMP HI-VIS GRN","ROADSTART EMERGENCY JUMP STARTER 12V 900 PEAK AMP HI-VIS GRN",62.98,62.98,,"4025","GBP",,,,,,"GBP",101.63,"4025","Active","4025 - MISC","24",0,1,1,62.98,101.63,,,,,,,"C-RS1312HV",,,,,,,,,"",,,,,,
67476,6,,,,777,,,"RS600","RS600","ROADSTARTÂ® 600A 12V LITHIUM-ION JUMP","ROADSTARTÂ® 600A 12V LITHIUM-ION JUMP",42.98,42.98,,"4025","GBP",,,,,,"GBP",62.46,"4025","Active","4025 - MISC","24",0,12,1,515.76,749.52,,,,,,,"C-RS600",,,,,,,,,"",,,,,,
67478,6,,,,777,,,"SA11122","SA11122","PRE FILTER","PRE FILTER",1.2,1.2,,"4098","GBP",,,,,,"GBP",4.98,"4098","Active","4098 - SPARE PARTS","20",0,0,1,0,0,,,,,,,"C-SA11122",,,,,,,,,"",,752133,,,,
67479,6,,,,777,,,"SBA2212KR","SBA2212KR","KRAMP SLAB BATTERY 12V 22AH 160A","KRAMP SLAB BATTERY 12V 22AH 160A",30,30,,"4098","GBP",,,,,,"GBP",60,"4098","Active","4098 - SPARE PARTS","20",0,5,1,150,300,,,,,,,"C-SBA2212KR",,,,,,,,,"",,752133,,,,
67480,6,,,,777,,,"SBC4","SBC4","BATTERY MAINTAINER CHARGER 12V 4A FULLY","BATTERY MAINTAINER CHARGER 12V 4A FULLY",17.98,17.98,,"4025","GBP",,,,,,"GBP",33.29,"4025","Active","4025 - MISC","24",0,16,1,287.68,532.64,,,,,,,"C-SBC4",,,,,,,,,"",,,,,,
67481,6,,,,777,,,"SBH900E","SBH900E","STIGA SBH 900 E BATTERY BACKPACK HARNESS","STIGA SBH 900 E BATTERY BACKPACK HARNESS",108.41,0,,"4025","GBP",,,,,,"GBP",219,"4025","Active","4025 - MISC","32",0,0,1,0,0,,,,,,,"C-SBH900E",,,,,,,,,"",,752173,,,,
67483,6,,,,777,,,"SGC1","SGC1","GREASE CARTRIDGE EP2 LITHIUM 400G","GREASE CARTRIDGE EP2 LITHIUM 400G",4.48,4.48,,"4025","GBP",,,,,,"GBP",9.96,"4025","Active","4025 - MISC","24",0,3,1,13.44,29.88,,,,,,,"C-SGC1",,,,,,,,,"",,,,,,
67484,6,,,,777,,,"SGN532151134","SGN532151134","Oleo-Mac LENSE FITS APACHE 92 EVO","Oleo-Mac LENSE FITS APACHE 92 EVO",25,25,,"4098","GBP",,,,,,"GBP",60,"4098","Active","4098 - SPARE PARTS","20",0,1,1,25,60,,,,,,,"C-SGN532151134",,,,,,,,,"",,752095,,,,
67485,6,,,,777,,,"SHE-71","SHE-71","STIHL SHE-71 ELECTRIC HANDHELD GARDEN BLOWER-VAC","STIHL SHE-71 ELECTRIC HANDHELD GARDEN BLOWER-VAC",106.25,0,,"4012","GBP",,,,,,"GBP",224.95,"4012","Active","4012 - HANDHELD PRODCUTS","1",0,0,1,0,0,,,,,,,"C-SHE-71",,,3.5,,,,,,"",,752109,,,,
67486,6,,,,777,,,"SLA12-18","SLA12-18","FULBAT BATTERY 12V 18.9AH 150A","FULBAT BATTERY 12V 18.9AH 150A",31.05,31.05,,"4098","GBP",,,,,,"GBP",60,"4098","Active","4098 - SPARE PARTS","15",0,0,1,0,0,,,,,,,"C-SLA12-18",,,,,,,,,"1E",,,,,,
67487,6,,,,777,,,"SLT001","SLT001","BLADE BOSS","BLADE BOSS",2.92,2.92,,"4098","GBP",,,,,,"GBP",12.99,"4098","Active","4098 - SPARE PARTS","15",0,18,1,52.56,233.82,,,,,,,"C-SLT001",,,,,,,,,"",,752066,,,,
67488,6,,,,777,,,"SLT003","SLT003","BLADE BOSS","BLADE BOSS",1.52,1.52,,"4098","GBP",,,,,,"GBP",6.62,"4098","Active","4098 - SPARE PARTS","3",0,0,1,0,0,,,,,,,"C-SLT003",,,,,,,,,"",,,,,,
67489,6,,,,777,,,"SLT110","SLT110","SIMPLICITY REGENT SLT110","SIMPLICITY REGENT SLT110",2620,2620,,"4011","GBP",,,,,,"GBP",3799,"4011","Active","4011 - RIDE ON LAWNMOWERS","58",0,0,1,0,0,,,,,,,"C-SLT110",,,211,,,,,,"",,752098,,,,
